time,noaa,sg
2024-04-12T07:00:00+00:00,7.91,5.77
2024-04-12T08:00:00+00:00,7.73,5.58
2024-04-12T09:00:00+00:00,7.56,5.38
2024-04-12T10:00:00+00:00,6.96,5.03
2024-04-12T11:00:00+00:00,6.36,4.67
2024-04-12T12:00:00+00:00,5.76,4.32
2024-04-12T13:00:00+00:00,5.59,4.31
2024-04-12T14:00:00+00:00,5.41,4.29
2024-04-12T15:00:00+00:00,5.24,4.28
2024-04-12T16:00:00+00:00,5.32,4.35
2024-04-12T17:00:00+00:00,5.39,4.43
2024-04-12T18:00:00+00:00,5.47,4.5
2024-04-12T19:00:00+00:00,5.29,4.58
2024-04-12T20:00:00+00:00,5.12,4.66
2024-04-12T21:00:00+00:00,4.94,4.74
2024-04-12T22:00:00+00:00,5.19,4.91
2024-04-12T23:00:00+00:00,5.44,5.07
2024-04-13T00:00:00+00:00,5.17,3.92
2024-04-13T01:00:00+00:00,5.63,3.88
2024-04-13T02:00:00+00:00,6.1,3.85
2024-04-13T03:00:00+00:00,6.56,3.81
2024-04-13T04:00:00+00:00,6.76,3.87
2024-04-13T05:00:00+00:00,6.96,3.93
2024-04-13T06:00:00+00:00,7.16,3.99
2024-04-13T07:00:00+00:00,6.84,3.95
2024-04-13T08:00:00+00:00,6.51,3.91
2024-04-13T09:00:00+00:00,6.19,3.87
2024-04-13T10:00:00+00:00,5.67,3.74
2024-04-13T11:00:00+00:00,5.16,3.6
2024-04-13T12:00:00+00:00,4.64,3.47
2024-04-13T13:00:00+00:00,4.82,3.7
2024-04-13T14:00:00+00:00,4.99,3.92
2024-04-13T15:00:00+00:00,5.17,4.15
2024-04-13T16:00:00+00:00,4.86,4.34
2024-04-13T17:00:00+00:00,4.54,4.54
2024-04-13T18:00:00+00:00,4.23,4.73
2024-04-13T19:00:00+00:00,4.1,4.55
2024-04-13T20:00:00+00:00,3.97,4.36
2024-04-13T21:00:00+00:00,3.84,4.18
2024-04-13T22:00:00+00:00,4.31,3.98
