time,meteo
2024-04-23T18:00:00+00:00,2.62
2024-04-23T19:00:00+00:00,2.38
2024-04-23T20:00:00+00:00,2.28
2024-04-23T21:00:00+00:00,2.11
2024-04-23T22:00:00+00:00,1.92
2024-04-23T23:00:00+00:00,1.84
2024-04-24T00:00:00+00:00,2.5
2024-04-24T01:00:00+00:00,3.0
2024-04-24T02:00:00+00:00,3.34
2024-04-24T03:00:00+00:00,3.54
2024-04-24T04:00:00+00:00,3.84
2024-04-24T05:00:00+00:00,4.02
2024-04-24T06:00:00+00:00,4.44
2024-04-24T07:00:00+00:00,4.79
2024-04-24T08:00:00+00:00,4.98
2024-04-24T09:00:00+00:00,4.9
2024-04-24T10:00:00+00:00,4.59
2024-04-24T11:00:00+00:00,4.24
2024-04-24T12:00:00+00:00,3.76
2024-04-24T13:00:00+00:00,3.38
2024-04-24T14:00:00+00:00,2.92
2024-04-24T15:00:00+00:00,2.59
2024-04-24T16:00:00+00:00,2.47
2024-04-24T17:00:00+00:00,2.61
2024-04-24T18:00:00+00:00,2.5
2024-04-24T19:00:00+00:00,2.26
2024-04-24T20:00:00+00:00,2.12
2024-04-24T21:00:00+00:00,1.91
2024-04-24T22:00:00+00:00,1.63
2024-04-24T23:00:00+00:00,1.53
2024-04-25T00:00:00+00:00,2.31
2024-04-25T01:00:00+00:00,2.79
2024-04-25T02:00:00+00:00,3.07
2024-04-25T03:00:00+00:00,3.81
2024-04-25T04:00:00+00:00,4.35
2024-04-25T05:00:00+00:00,4.79
2024-04-25T06:00:00+00:00,5.15
2024-04-25T07:00:00+00:00,5.22
2024-04-25T08:00:00+00:00,5.1
2024-04-25T09:00:00+00:00,4.88
2024-04-25T10:00:00+00:00,4.55
2024-04-25T11:00:00+00:00,3.94
2024-04-25T12:00:00+00:00,3.28
2024-04-25T13:00:00+00:00,3.14
2024-04-25T14:00:00+00:00,3.04
2024-04-25T15:00:00+00:00,2.77
2024-04-25T16:00:00+00:00,2.58
2024-04-25T17:00:00+00:00,2.39
2024-04-25T18:00:00+00:00,1.89
2024-04-25T19:00:00+00:00,1.44
2024-04-25T20:00:00+00:00,1.2
2024-04-25T21:00:00+00:00,1.17
2024-04-25T22:00:00+00:00,1.33
2024-04-25T23:00:00+00:00,1.53
2024-04-26T00:00:00+00:00,1.06
2024-04-26T01:00:00+00:00,1.63
2024-04-26T02:00:00+00:00,2.28
2024-04-26T03:00:00+00:00,2.88
2024-04-26T04:00:00+00:00,3.49
2024-04-26T05:00:00+00:00,4.02
2024-04-26T06:00:00+00:00,3.96
2024-04-26T07:00:00+00:00,3.86
2024-04-26T08:00:00+00:00,3.79
2024-04-26T09:00:00+00:00,3.64
2024-04-26T10:00:00+00:00,3.32
